,State,Management,Year,Specialisation,Seats,censuscode,ST_CEN_CD,UG_PG,st_new
1564,UTTARAKHAND,Private,2001.0,Ophthalmology,4.0,64.0,35.0,PG,Uttarakhand
1565,WEST BENGAL,Private,2001.0,Ophthalmology,2.0,339.0,36.0,PG,West Bengal
1566,ASSAM,Public,2001.0,Ophthalmology,23.0,324.0,4.0,PG,Assam
1567,BIHAR,Public,2001.0,Ophthalmology,7.0,209.0,5.0,PG,Bihar
1568,CHANDIGARH,Public,2001.0,Ophthalmology,3.0,55.0,6.0,PG,Chandigarh
1569,CHHATTISGARH,Public,2001.0,Ophthalmology,5.0,414.0,7.0,PG,Chhattisgarh
1570,NCT OF DELHI,Public,2001.0,Ophthalmology,130.0,95.0,10.0,PG,NCT of Delhi
1571,GOA,Public,2001.0,Ophthalmology,2.0,585.0,11.0,PG,Goa
1572,GUJARAT,Public,2001.0,Ophthalmology,11.0,474.0,12.0,PG,Gujarat
1573,HARYANA,Public,2001.0,Ophthalmology,10.0,70.0,13.0,PG,Haryana
1574,HIMACHAL PRADESH,Public,2001.0,Ophthalmology,2.0,30.0,14.0,PG,Himachal Pradesh
1575,JAMMU & KASHMIR,Public,2001.0,Ophthalmology,12.0,14.0,15.0,PG,Jammu & Kashmir
1576,JHARKHAND,Public,2001.0,Ophthalmology,0.0,355.0,16.0,PG,Jharkhand
1577,KARNATAKA,Public,2001.0,Ophthalmology,42.0,556.0,17.0,PG,Karnataka
1578,KERALA,Public,2001.0,Ophthalmology,9.0,598.0,18.0,PG,Kerala
1579,MADHYA PRADESH,Public,2001.0,Ophthalmology,36.0,465.0,20.0,PG,Madhya Pradesh
1580,MAHARASHTRA,Public,2001.0,Ophthalmology,61.0,522.0,21.0,PG,Maharashtra
1581,MANIPUR,Public,2001.0,Ophthalmology,2.0,275.0,22.0,PG,Manipur
1582,MEGHALAYA,Public,2001.0,Ophthalmology,0.0,294.0,23.0,PG,Meghalaya
1583,ODISHA,Public,2001.0,Ophthalmology,0.0,384.0,26.0,PG,Odisha
1584,PUDUCHERRY,Public,2001.0,Ophthalmology,0.0,636.0,27.0,PG,Puducherry
1585,PUNJAB,Public,2001.0,Ophthalmology,10.0,49.0,28.0,PG,Punjab
1586,RAJASTHAN,Public,2001.0,Ophthalmology,18.0,119.0,29.0,PG,Rajasthan
1587,TAMIL NADU,Public,2001.0,Ophthalmology,60.0,616.0,31.0,PG,Tamil Nadu
1588,UTTAR PRADESH,Public,2001.0,Ophthalmology,40.0,146.0,34.0,PG,Uttar Pradesh
1589,UTTARAKHAND,Public,2001.0,Ophthalmology,0.0,64.0,35.0,PG,Uttarakhand
1590,WEST BENGAL,Public,2001.0,Ophthalmology,32.0,339.0,36.0,PG,West Bengal
1591,ANDHRA PRADESH,Private,2018.0,Ophthalmology,35.0,553.0,2.0,PG,Andhra Pradesh
1592,BIHAR,Private,2018.0,Ophthalmology,13.0,209.0,5.0,PG,Bihar
1593,CHHATTISGARH,Private,2018.0,Ophthalmology,0.0,414.0,7.0,PG,Chhattisgarh
1594,NCT OF DELHI,Private,2018.0,Ophthalmology,0.0,95.0,10.0,PG,NCT of Delhi
1595,GUJARAT,Private,2018.0,Ophthalmology,14.0,474.0,12.0,PG,Gujarat
1596,HARYANA,Private,2018.0,Ophthalmology,8.0,70.0,13.0,PG,Haryana
1597,HIMACHAL PRADESH,Private,2018.0,Ophthalmology,0.0,30.0,14.0,PG,Himachal Pradesh
1598,JAMMU & KASHMIR,Private,2018.0,Ophthalmology,0.0,14.0,15.0,PG,Jammu & Kashmir
1599,KARNATAKA,Private,2018.0,Ophthalmology,124.0,556.0,17.0,PG,Karnataka
1600,KERALA,Private,2018.0,Ophthalmology,24.0,598.0,18.0,PG,Kerala
1601,MADHYA PRADESH,Private,2018.0,Ophthalmology,9.0,465.0,20.0,PG,Madhya Pradesh
1602,MAHARASHTRA,Private,2018.0,Ophthalmology,68.0,522.0,21.0,PG,Maharashtra
1603,ODISHA,Private,2018.0,Ophthalmology,9.0,384.0,26.0,PG,Odisha
1604,PUDUCHERRY,Private,2018.0,Ophthalmology,14.0,636.0,27.0,PG,Puducherry
1605,PUNJAB,Private,2018.0,Ophthalmology,5.0,49.0,28.0,PG,Punjab
1606,RAJASTHAN,Private,2018.0,Ophthalmology,7.0,119.0,29.0,PG,Rajasthan
1607,SIKKIM,Private,2018.0,Ophthalmology,0.0,244.0,30.0,PG,Sikkim
1608,TAMIL NADU,Private,2018.0,Ophthalmology,65.0,616.0,31.0,PG,Tamil Nadu
1609,TELANGANA,Private,2018.0,Ophthalmology,28.0,532.0,32.0,PG,Telangana
1610,TRIPURA,Private,2018.0,Ophthalmology,0.0,291.0,33.0,PG,Tripura
1611,UTTAR PRADESH,Private,2018.0,Ophthalmology,29.0,146.0,34.0,PG,Uttar Pradesh
1612,UTTARAKHAND,Private,2018.0,Ophthalmology,8.0,64.0,35.0,PG,Uttarakhand
1613,WEST BENGAL,Private,2018.0,Ophthalmology,2.0,339.0,36.0,PG,West Bengal
1614,ANDAMAN & NICOBAR ISLAND,Public,2018.0,Ophthalmology,0.0,638.0,1.0,PG,Andaman & Nicobar Island
1615,ANDHRA PRADESH,Public,2018.0,Ophthalmology,49.0,553.0,2.0,PG,Andhra Pradesh
1616,ASSAM,Public,2018.0,Ophthalmology,25.0,324.0,4.0,PG,Assam
1617,BIHAR,Public,2018.0,Ophthalmology,16.0,209.0,5.0,PG,Bihar
1618,CHANDIGARH,Public,2018.0,Ophthalmology,18.0,55.0,6.0,PG,Chandigarh
1619,CHHATTISGARH,Public,2018.0,Ophthalmology,8.0,414.0,7.0,PG,Chhattisgarh
1620,NCT OF DELHI,Public,2018.0,Ophthalmology,160.0,95.0,10.0,PG,NCT of Delhi
1621,GOA,Public,2018.0,Ophthalmology,5.0,585.0,11.0,PG,Goa
1622,GUJARAT,Public,2018.0,Ophthalmology,80.0,474.0,12.0,PG,Gujarat
1623,HARYANA,Public,2018.0,Ophthalmology,15.0,70.0,13.0,PG,Haryana
1624,HIMACHAL PRADESH,Public,2018.0,Ophthalmology,8.0,30.0,14.0,PG,Himachal Pradesh
1625,JAMMU & KASHMIR,Public,2018.0,Ophthalmology,25.0,14.0,15.0,PG,Jammu & Kashmir
1626,JHARKHAND,Public,2018.0,Ophthalmology,18.0,355.0,16.0,PG,Jharkhand
1627,KARNATAKA,Public,2018.0,Ophthalmology,61.0,556.0,17.0,PG,Karnataka
1628,KERALA,Public,2018.0,Ophthalmology,36.0,598.0,18.0,PG,Kerala
1629,MADHYA PRADESH,Public,2018.0,Ophthalmology,39.0,465.0,20.0,PG,Madhya Pradesh
1630,MAHARASHTRA,Public,2018.0,Ophthalmology,96.0,522.0,21.0,PG,Maharashtra
1631,MANIPUR,Public,2018.0,Ophthalmology,5.0,275.0,22.0,PG,Manipur
1632,MEGHALAYA,Public,2018.0,Ophthalmology,0.0,294.0,23.0,PG,Meghalaya
1633,ODISHA,Public,2018.0,Ophthalmology,25.0,384.0,26.0,PG,Odisha
1634,PUDUCHERRY,Public,2018.0,Ophthalmology,9.0,636.0,27.0,PG,Puducherry
1635,PUNJAB,Public,2018.0,Ophthalmology,19.0,49.0,28.0,PG,Punjab
1636,RAJASTHAN,Public,2018.0,Ophthalmology,31.0,119.0,29.0,PG,Rajasthan
1637,TAMIL NADU,Public,2018.0,Ophthalmology,84.0,616.0,31.0,PG,Tamil Nadu
1638,TELANGANA,Public,2018.0,Ophthalmology,50.0,532.0,32.0,PG,Telangana
1639,TRIPURA,Public,2018.0,Ophthalmology,2.0,291.0,33.0,PG,Tripura
1640,UTTAR PRADESH,Public,2018.0,Ophthalmology,90.0,146.0,34.0,PG,Uttar Pradesh
1641,UTTARAKHAND,Public,2018.0,Ophthalmology,3.0,64.0,35.0,PG,Uttarakhand
1642,WEST BENGAL,Public,2018.0,Ophthalmology,70.0,339.0,36.0,PG,West Bengal
1643,ASSAM,Both,2001.0,Ophthalmology,23.0,324.0,4.0,PG,Assam
1644,BIHAR,Both,2001.0,Ophthalmology,7.0,209.0,5.0,PG,Bihar
1645,CHANDIGARH,Both,2001.0,Ophthalmology,3.0,55.0,6.0,PG,Chandigarh
1646,CHHATTISGARH,Both,2001.0,Ophthalmology,5.0,414.0,7.0,PG,Chhattisgarh
1647,GOA,Both,2001.0,Ophthalmology,2.0,585.0,11.0,PG,Goa
1648,GUJARAT,Both,2001.0,Ophthalmology,11.0,474.0,12.0,PG,Gujarat
1649,HARYANA,Both,2001.0,Ophthalmology,11.0,70.0,13.0,PG,Haryana
1650,HIMACHAL PRADESH,Both,2001.0,Ophthalmology,2.0,30.0,14.0,PG,Himachal Pradesh
1651,JAMMU & KASHMIR,Both,2001.0,Ophthalmology,12.0,14.0,15.0,PG,Jammu & Kashmir
1652,JHARKHAND,Both,2001.0,Ophthalmology,0.0,355.0,16.0,PG,Jharkhand
1653,KARNATAKA,Both,2001.0,Ophthalmology,92.0,556.0,17.0,PG,Karnataka
1654,KERALA,Both,2001.0,Ophthalmology,9.0,598.0,18.0,PG,Kerala
1655,MADHYA PRADESH,Both,2001.0,Ophthalmology,38.0,465.0,20.0,PG,Madhya Pradesh
1656,MAHARASHTRA,Both,2001.0,Ophthalmology,65.0,522.0,21.0,PG,Maharashtra
1657,MANIPUR,Both,2001.0,Ophthalmology,2.0,275.0,22.0,PG,Manipur
1658,MEGHALAYA,Both,2001.0,Ophthalmology,0.0,294.0,23.0,PG,Meghalaya
1659,NCT OF DELHI,Both,2001.0,Ophthalmology,130.0,95.0,10.0,PG,NCT of Delhi
1660,ODISHA,Both,2001.0,Ophthalmology,0.0,384.0,26.0,PG,Odisha
1661,PUDUCHERRY,Both,2001.0,Ophthalmology,0.0,636.0,27.0,PG,Puducherry
1662,PUNJAB,Both,2001.0,Ophthalmology,11.0,49.0,28.0,PG,Punjab
1663,RAJASTHAN,Both,2001.0,Ophthalmology,19.0,119.0,29.0,PG,Rajasthan
1664,SIKKIM,Both,2001.0,Ophthalmology,0.0,244.0,30.0,PG,Sikkim
1665,TAMIL NADU,Both,2001.0,Ophthalmology,86.0,616.0,31.0,PG,Tamil Nadu
1666,UTTAR PRADESH,Both,2001.0,Ophthalmology,40.0,146.0,34.0,PG,Uttar Pradesh
1667,UTTARAKHAND,Both,2001.0,Ophthalmology,4.0,64.0,35.0,PG,Uttarakhand
1668,WEST BENGAL,Both,2001.0,Ophthalmology,34.0,339.0,36.0,PG,West Bengal
1669,ANDAMAN & NICOBAR ISLAND,Both,2018.0,Ophthalmology,0.0,638.0,1.0,PG,Andaman & Nicobar Island
1670,ANDHRA PRADESH,Both,2018.0,Ophthalmology,84.0,553.0,2.0,PG,Andhra Pradesh
1671,ASSAM,Both,2018.0,Ophthalmology,25.0,324.0,4.0,PG,Assam
1672,BIHAR,Both,2018.0,Ophthalmology,29.0,209.0,5.0,PG,Bihar
1673,CHANDIGARH,Both,2018.0,Ophthalmology,18.0,55.0,6.0,PG,Chandigarh
1674,CHHATTISGARH,Both,2018.0,Ophthalmology,8.0,414.0,7.0,PG,Chhattisgarh
1675,GOA,Both,2018.0,Ophthalmology,5.0,585.0,11.0,PG,Goa
1676,GUJARAT,Both,2018.0,Ophthalmology,94.0,474.0,12.0,PG,Gujarat
1677,HARYANA,Both,2018.0,Ophthalmology,23.0,70.0,13.0,PG,Haryana
1678,HIMACHAL PRADESH,Both,2018.0,Ophthalmology,8.0,30.0,14.0,PG,Himachal Pradesh
1679,JAMMU & KASHMIR,Both,2018.0,Ophthalmology,25.0,14.0,15.0,PG,Jammu & Kashmir
1680,JHARKHAND,Both,2018.0,Ophthalmology,18.0,355.0,16.0,PG,Jharkhand
1681,KARNATAKA,Both,2018.0,Ophthalmology,185.0,556.0,17.0,PG,Karnataka
1682,KERALA,Both,2018.0,Ophthalmology,60.0,598.0,18.0,PG,Kerala
1683,MADHYA PRADESH,Both,2018.0,Ophthalmology,48.0,465.0,20.0,PG,Madhya Pradesh
1684,MAHARASHTRA,Both,2018.0,Ophthalmology,164.0,522.0,21.0,PG,Maharashtra
1685,MANIPUR,Both,2018.0,Ophthalmology,5.0,275.0,22.0,PG,Manipur
1686,MEGHALAYA,Both,2018.0,Ophthalmology,0.0,294.0,23.0,PG,Meghalaya
1687,NCT OF DELHI,Both,2018.0,Ophthalmology,160.0,95.0,10.0,PG,NCT of Delhi
1688,ODISHA,Both,2018.0,Ophthalmology,34.0,384.0,26.0,PG,Odisha
1689,PUDUCHERRY,Both,2018.0,Ophthalmology,23.0,636.0,27.0,PG,Puducherry
1690,PUNJAB,Both,2018.0,Ophthalmology,24.0,49.0,28.0,PG,Punjab
1691,RAJASTHAN,Both,2018.0,Ophthalmology,38.0,119.0,29.0,PG,Rajasthan
1692,SIKKIM,Both,2018.0,Ophthalmology,0.0,244.0,30.0,PG,Sikkim
1693,TAMIL NADU,Both,2018.0,Ophthalmology,149.0,616.0,31.0,PG,Tamil Nadu
1694,TELANGANA,Both,2018.0,Ophthalmology,78.0,532.0,32.0,PG,Telangana
1695,TRIPURA,Both,2018.0,Ophthalmology,2.0,291.0,33.0,PG,Tripura
1696,UTTAR PRADESH,Both,2018.0,Ophthalmology,119.0,146.0,34.0,PG,Uttar Pradesh
1697,UTTARAKHAND,Both,2018.0,Ophthalmology,11.0,64.0,35.0,PG,Uttarakhand
1698,WEST BENGAL,Both,2018.0,Ophthalmology,72.0,339.0,36.0,PG,West Bengal
1699,ANDHRA PRADESH,Private,2001.0,Ophthalmology,0.0,553.0,2.0,PG,Andhra Pradesh
1700,TELANGANA,Private,2001.0,Ophthalmology,0.0,,,PG,Telangana
1701,ANDHRA PRADESH,Public,2001.0,Ophthalmology,62.0,553.0,2.0,PG,Andhra Pradesh
1702,TELANGANA,Public,2001.0,Ophthalmology,62.0,,,PG,Telangana
1703,ANDHRA PRADESH,Both,2001.0,Ophthalmology,62.0,553.0,2.0,PG,Andhra Pradesh
1704,TELANGANA,Both,2001.0,Ophthalmology,62.0,,,PG,Telangana
1705,GUJARAT,Private,2001.0,Pulmonology,0.0,474.0,12.0,PG,Gujarat
1706,HARYANA,Private,2001.0,Pulmonology,0.0,70.0,13.0,PG,Haryana
1707,JAMMU & KASHMIR,Private,2001.0,Pulmonology,0.0,14.0,15.0,PG,Jammu & Kashmir
1708,KARNATAKA,Private,2001.0,Pulmonology,4.0,556.0,17.0,PG,Karnataka
1709,KERALA,Private,2001.0,Pulmonology,0.0,598.0,18.0,PG,Kerala
1710,MADHYA PRADESH,Private,2001.0,Pulmonology,1.0,465.0,20.0,PG,Madhya Pradesh
1711,MAHARASHTRA,Private,2001.0,Pulmonology,0.0,522.0,21.0,PG,Maharashtra
1712,ODISHA,Private,2001.0,Pulmonology,0.0,384.0,26.0,PG,Odisha
1713,PUDUCHERRY,Private,2001.0,Pulmonology,0.0,636.0,27.0,PG,Puducherry
1714,PUNJAB,Private,2001.0,Pulmonology,0.0,49.0,28.0,PG,Punjab
1715,RAJASTHAN,Private,2001.0,Pulmonology,1.0,119.0,29.0,PG,Rajasthan
1716,SIKKIM,Private,2001.0,Pulmonology,0.0,244.0,30.0,PG,Sikkim
1717,TAMIL NADU,Private,2001.0,Pulmonology,0.0,616.0,31.0,PG,Tamil Nadu
1718,UTTAR PRADESH,Private,2001.0,Pulmonology,0.0,146.0,34.0,PG,Uttar Pradesh
1719,UTTARAKHAND,Private,2001.0,Pulmonology,0.0,64.0,35.0,PG,Uttarakhand
1720,WEST BENGAL,Private,2001.0,Pulmonology,0.0,339.0,36.0,PG,West Bengal
1721,ASSAM,Public,2001.0,Pulmonology,0.0,324.0,4.0,PG,Assam
1722,BIHAR,Public,2001.0,Pulmonology,0.0,209.0,5.0,PG,Bihar
1723,CHANDIGARH,Public,2001.0,Pulmonology,0.0,55.0,6.0,PG,Chandigarh
1724,CHHATTISGARH,Public,2001.0,Pulmonology,0.0,414.0,7.0,PG,Chhattisgarh
1725,NCT OF DELHI,Public,2001.0,Pulmonology,26.0,95.0,10.0,PG,NCT of Delhi
1726,GOA,Public,2001.0,Pulmonology,0.0,585.0,11.0,PG,Goa
1727,GUJARAT,Public,2001.0,Pulmonology,6.0,474.0,12.0,PG,Gujarat
1728,HARYANA,Public,2001.0,Pulmonology,2.0,70.0,13.0,PG,Haryana
1729,HIMACHAL PRADESH,Public,2001.0,Pulmonology,0.0,30.0,14.0,PG,Himachal Pradesh
1730,JAMMU & KASHMIR,Public,2001.0,Pulmonology,0.0,14.0,15.0,PG,Jammu & Kashmir
1731,JHARKHAND,Public,2001.0,Pulmonology,0.0,355.0,16.0,PG,Jharkhand
1732,KARNATAKA,Public,2001.0,Pulmonology,0.0,556.0,17.0,PG,Karnataka
1733,KERALA,Public,2001.0,Pulmonology,8.0,598.0,18.0,PG,Kerala
1734,MADHYA PRADESH,Public,2001.0,Pulmonology,0.0,465.0,20.0,PG,Madhya Pradesh
1735,MAHARASHTRA,Public,2001.0,Pulmonology,18.0,522.0,21.0,PG,Maharashtra
1736,MANIPUR,Public,2001.0,Pulmonology,0.0,275.0,22.0,PG,Manipur
1737,MEGHALAYA,Public,2001.0,Pulmonology,0.0,294.0,23.0,PG,Meghalaya
1738,ODISHA,Public,2001.0,Pulmonology,2.0,384.0,26.0,PG,Odisha
1739,PUDUCHERRY,Public,2001.0,Pulmonology,0.0,636.0,27.0,PG,Puducherry
1740,PUNJAB,Public,2001.0,Pulmonology,8.0,49.0,28.0,PG,Punjab
1741,RAJASTHAN,Public,2001.0,Pulmonology,18.0,119.0,29.0,PG,Rajasthan
1742,TAMIL NADU,Public,2001.0,Pulmonology,0.0,616.0,31.0,PG,Tamil Nadu
1743,UTTAR PRADESH,Public,2001.0,Pulmonology,18.0,146.0,34.0,PG,Uttar Pradesh
1744,UTTARAKHAND,Public,2001.0,Pulmonology,0.0,64.0,35.0,PG,Uttarakhand
1745,WEST BENGAL,Public,2001.0,Pulmonology,12.0,339.0,36.0,PG,West Bengal
1746,ANDHRA PRADESH,Private,2018.0,Pulmonology,26.0,553.0,2.0,PG,Andhra Pradesh
1747,BIHAR,Private,2018.0,Pulmonology,0.0,209.0,5.0,PG,Bihar
1748,CHHATTISGARH,Private,2018.0,Pulmonology,0.0,414.0,7.0,PG,Chhattisgarh
1749,NCT OF DELHI,Private,2018.0,Pulmonology,0.0,95.0,10.0,PG,NCT of Delhi
1750,GUJARAT,Private,2018.0,Pulmonology,9.0,474.0,12.0,PG,Gujarat
1751,HARYANA,Private,2018.0,Pulmonology,6.0,70.0,13.0,PG,Haryana
1752,HIMACHAL PRADESH,Private,2018.0,Pulmonology,0.0,30.0,14.0,PG,Himachal Pradesh
1753,JAMMU & KASHMIR,Private,2018.0,Pulmonology,0.0,14.0,15.0,PG,Jammu & Kashmir
1754,KARNATAKA,Private,2018.0,Pulmonology,24.0,556.0,17.0,PG,Karnataka
1755,KERALA,Private,2018.0,Pulmonology,9.0,598.0,18.0,PG,Kerala
1756,MADHYA PRADESH,Private,2018.0,Pulmonology,10.0,465.0,20.0,PG,Madhya Pradesh
1757,MAHARASHTRA,Private,2018.0,Pulmonology,24.0,522.0,21.0,PG,Maharashtra
1758,ODISHA,Private,2018.0,Pulmonology,5.0,384.0,26.0,PG,Odisha
1759,PUDUCHERRY,Private,2018.0,Pulmonology,5.0,636.0,27.0,PG,Puducherry
1760,PUNJAB,Private,2018.0,Pulmonology,2.0,49.0,28.0,PG,Punjab
1761,RAJASTHAN,Private,2018.0,Pulmonology,7.0,119.0,29.0,PG,Rajasthan
1762,SIKKIM,Private,2018.0,Pulmonology,0.0,244.0,30.0,PG,Sikkim
1763,TAMIL NADU,Private,2018.0,Pulmonology,21.0,616.0,31.0,PG,Tamil Nadu
1764,TELANGANA,Private,2018.0,Pulmonology,24.0,532.0,32.0,PG,Telangana
1765,TRIPURA,Private,2018.0,Pulmonology,0.0,291.0,33.0,PG,Tripura
1766,UTTAR PRADESH,Private,2018.0,Pulmonology,19.0,146.0,34.0,PG,Uttar Pradesh
1767,UTTARAKHAND,Private,2018.0,Pulmonology,4.0,64.0,35.0,PG,Uttarakhand
1768,WEST BENGAL,Private,2018.0,Pulmonology,0.0,339.0,36.0,PG,West Bengal
1769,ANDAMAN & NICOBAR ISLAND,Public,2018.0,Pulmonology,0.0,638.0,1.0,PG,Andaman & Nicobar Island
1770,ANDHRA PRADESH,Public,2018.0,Pulmonology,22.0,553.0,2.0,PG,Andhra Pradesh
1771,ASSAM,Public,2018.0,Pulmonology,4.0,324.0,4.0,PG,Assam
1772,BIHAR,Public,2018.0,Pulmonology,0.0,209.0,5.0,PG,Bihar
1773,CHANDIGARH,Public,2018.0,Pulmonology,9.0,55.0,6.0,PG,Chandigarh
1774,CHHATTISGARH,Public,2018.0,Pulmonology,0.0,414.0,7.0,PG,Chhattisgarh
1775,NCT OF DELHI,Public,2018.0,Pulmonology,32.0,95.0,10.0,PG,NCT of Delhi
1776,GOA,Public,2018.0,Pulmonology,6.0,585.0,11.0,PG,Goa
1777,GUJARAT,Public,2018.0,Pulmonology,29.0,474.0,12.0,PG,Gujarat
1778,HARYANA,Public,2018.0,Pulmonology,5.0,70.0,13.0,PG,Haryana
1779,HIMACHAL PRADESH,Public,2018.0,Pulmonology,3.0,30.0,14.0,PG,Himachal Pradesh
1780,JAMMU & KASHMIR,Public,2018.0,Pulmonology,0.0,14.0,15.0,PG,Jammu & Kashmir
1781,JHARKHAND,Public,2018.0,Pulmonology,0.0,355.0,16.0,PG,Jharkhand
1782,KARNATAKA,Public,2018.0,Pulmonology,8.0,556.0,17.0,PG,Karnataka
1783,KERALA,Public,2018.0,Pulmonology,16.0,598.0,18.0,PG,Kerala
1784,MADHYA PRADESH,Public,2018.0,Pulmonology,2.0,465.0,20.0,PG,Madhya Pradesh
1785,MAHARASHTRA,Public,2018.0,Pulmonology,31.0,522.0,21.0,PG,Maharashtra
1786,MANIPUR,Public,2018.0,Pulmonology,2.0,275.0,22.0,PG,Manipur
1787,MEGHALAYA,Public,2018.0,Pulmonology,0.0,294.0,23.0,PG,Meghalaya
1788,ODISHA,Public,2018.0,Pulmonology,10.0,384.0,26.0,PG,Odisha
1789,PUDUCHERRY,Public,2018.0,Pulmonology,3.0,636.0,27.0,PG,Puducherry
1790,PUNJAB,Public,2018.0,Pulmonology,12.0,49.0,28.0,PG,Punjab
1791,RAJASTHAN,Public,2018.0,Pulmonology,42.0,119.0,29.0,PG,Rajasthan
1792,TAMIL NADU,Public,2018.0,Pulmonology,18.0,616.0,31.0,PG,Tamil Nadu
1793,TELANGANA,Public,2018.0,Pulmonology,18.0,532.0,32.0,PG,Telangana
1794,TRIPURA,Public,2018.0,Pulmonology,0.0,291.0,33.0,PG,Tripura
1795,UTTAR PRADESH,Public,2018.0,Pulmonology,29.0,146.0,34.0,PG,Uttar Pradesh
1796,UTTARAKHAND,Public,2018.0,Pulmonology,2.0,64.0,35.0,PG,Uttarakhand
1797,WEST BENGAL,Public,2018.0,Pulmonology,27.0,339.0,36.0,PG,West Bengal
1798,ASSAM,Both,2001.0,Pulmonology,0.0,324.0,4.0,PG,Assam
1799,BIHAR,Both,2001.0,Pulmonology,0.0,209.0,5.0,PG,Bihar
1800,CHANDIGARH,Both,2001.0,Pulmonology,0.0,55.0,6.0,PG,Chandigarh
1801,CHHATTISGARH,Both,2001.0,Pulmonology,0.0,414.0,7.0,PG,Chhattisgarh
1802,GOA,Both,2001.0,Pulmonology,0.0,585.0,11.0,PG,Goa
1803,GUJARAT,Both,2001.0,Pulmonology,6.0,474.0,12.0,PG,Gujarat
1804,HARYANA,Both,2001.0,Pulmonology,2.0,70.0,13.0,PG,Haryana
1805,HIMACHAL PRADESH,Both,2001.0,Pulmonology,0.0,30.0,14.0,PG,Himachal Pradesh
1806,JAMMU & KASHMIR,Both,2001.0,Pulmonology,0.0,14.0,15.0,PG,Jammu & Kashmir
1807,JHARKHAND,Both,2001.0,Pulmonology,0.0,355.0,16.0,PG,Jharkhand
1808,KARNATAKA,Both,2001.0,Pulmonology,4.0,556.0,17.0,PG,Karnataka
1809,KERALA,Both,2001.0,Pulmonology,8.0,598.0,18.0,PG,Kerala
1810,MADHYA PRADESH,Both,2001.0,Pulmonology,1.0,465.0,20.0,PG,Madhya Pradesh
1811,MAHARASHTRA,Both,2001.0,Pulmonology,18.0,522.0,21.0,PG,Maharashtra
1812,MANIPUR,Both,2001.0,Pulmonology,0.0,275.0,22.0,PG,Manipur
1813,MEGHALAYA,Both,2001.0,Pulmonology,0.0,294.0,23.0,PG,Meghalaya
1814,NCT OF DELHI,Both,2001.0,Pulmonology,26.0,95.0,10.0,PG,NCT of Delhi
1815,ODISHA,Both,2001.0,Pulmonology,2.0,384.0,26.0,PG,Odisha
1816,PUDUCHERRY,Both,2001.0,Pulmonology,0.0,636.0,27.0,PG,Puducherry
1817,PUNJAB,Both,2001.0,Pulmonology,8.0,49.0,28.0,PG,Punjab
1818,RAJASTHAN,Both,2001.0,Pulmonology,19.0,119.0,29.0,PG,Rajasthan
1819,SIKKIM,Both,2001.0,Pulmonology,0.0,244.0,30.0,PG,Sikkim
1820,TAMIL NADU,Both,2001.0,Pulmonology,0.0,616.0,31.0,PG,Tamil Nadu
1821,UTTAR PRADESH,Both,2001.0,Pulmonology,18.0,146.0,34.0,PG,Uttar Pradesh
1822,UTTARAKHAND,Both,2001.0,Pulmonology,0.0,64.0,35.0,PG,Uttarakhand
1823,WEST BENGAL,Both,2001.0,Pulmonology,12.0,339.0,36.0,PG,West Bengal
1824,ANDAMAN & NICOBAR ISLAND,Both,2018.0,Pulmonology,0.0,638.0,1.0,PG,Andaman & Nicobar Island
1825,ANDHRA PRADESH,Both,2018.0,Pulmonology,48.0,553.0,2.0,PG,Andhra Pradesh
1826,ASSAM,Both,2018.0,Pulmonology,4.0,324.0,4.0,PG,Assam
1827,BIHAR,Both,2018.0,Pulmonology,0.0,209.0,5.0,PG,Bihar
1828,CHANDIGARH,Both,2018.0,Pulmonology,9.0,55.0,6.0,PG,Chandigarh
1829,CHHATTISGARH,Both,2018.0,Pulmonology,0.0,414.0,7.0,PG,Chhattisgarh
1830,GOA,Both,2018.0,Pulmonology,6.0,585.0,11.0,PG,Goa
1831,GUJARAT,Both,2018.0,Pulmonology,38.0,474.0,12.0,PG,Gujarat
1832,HARYANA,Both,2018.0,Pulmonology,11.0,70.0,13.0,PG,Haryana
1833,HIMACHAL PRADESH,Both,2018.0,Pulmonology,3.0,30.0,14.0,PG,Himachal Pradesh
1834,JAMMU & KASHMIR,Both,2018.0,Pulmonology,0.0,14.0,15.0,PG,Jammu & Kashmir
1835,JHARKHAND,Both,2018.0,Pulmonology,0.0,355.0,16.0,PG,Jharkhand
1836,KARNATAKA,Both,2018.0,Pulmonology,32.0,556.0,17.0,PG,Karnataka
1837,KERALA,Both,2018.0,Pulmonology,25.0,598.0,18.0,PG,Kerala
1838,MADHYA PRADESH,Both,2018.0,Pulmonology,12.0,465.0,20.0,PG,Madhya Pradesh
1839,MAHARASHTRA,Both,2018.0,Pulmonology,55.0,522.0,21.0,PG,Maharashtra
1840,MANIPUR,Both,2018.0,Pulmonology,2.0,275.0,22.0,PG,Manipur
1841,MEGHALAYA,Both,2018.0,Pulmonology,0.0,294.0,23.0,PG,Meghalaya
1842,NCT OF DELHI,Both,2018.0,Pulmonology,32.0,95.0,10.0,PG,NCT of Delhi
1843,ODISHA,Both,2018.0,Pulmonology,15.0,384.0,26.0,PG,Odisha
1844,PUDUCHERRY,Both,2018.0,Pulmonology,8.0,636.0,27.0,PG,Puducherry
1845,PUNJAB,Both,2018.0,Pulmonology,14.0,49.0,28.0,PG,Punjab
1846,RAJASTHAN,Both,2018.0,Pulmonology,49.0,119.0,29.0,PG,Rajasthan
