"","X","State","Management","Year","Specialisation","Seats","censuscode","ST_CEN_CD","UG_PG","st_new"
"1377",1377,"MEGHALAYA","Both",2018,"Gynaecology",2,294,23,"PG","Meghalaya"
"1378",1378,"NCT OF DELHI","Both",2018,"Gynaecology",166,95,10,"PG","NCT of Delhi"
"1379",1379,"ODISHA","Both",2018,"Gynaecology",63,384,26,"PG","Odisha"
"1380",1380,"PUDUCHERRY","Both",2018,"Gynaecology",47,636,27,"PG","Puducherry"
"1381",1381,"PUNJAB","Both",2018,"Gynaecology",44,49,28,"PG","Punjab"
"1382",1382,"RAJASTHAN","Both",2018,"Gynaecology",151,119,29,"PG","Rajasthan"
"1383",1383,"SIKKIM","Both",2018,"Gynaecology",2,244,30,"PG","Sikkim"
"1384",1384,"TAMIL NADU","Both",2018,"Gynaecology",260,616,31,"PG","Tamil Nadu"
"1385",1385,"TELANGANA","Both",2018,"Gynaecology",130,532,32,"PG","Telangana"
"1386",1386,"TRIPURA","Both",2018,"Gynaecology",2,291,33,"PG","Tripura"
"1387",1387,"UTTAR PRADESH","Both",2018,"Gynaecology",171,146,34,"PG","Uttar Pradesh"
"1388",1388,"UTTARAKHAND","Both",2018,"Gynaecology",16,64,35,"PG","Uttarakhand"
"1389",1389,"WEST BENGAL","Both",2018,"Gynaecology",177,339,36,"PG","West Bengal"
"1390",1390,"ANDHRA PRADESH","Private",2001,"Gynaecology",2,553,2,"PG","Andhra Pradesh"
"1391",1391,"TELANGANA","Private",2001,"Gynaecology",2,NA,NA,"PG","Telangana"
"1392",1392,"ANDHRA PRADESH","Public",2001,"Gynaecology",122,553,2,"PG","Andhra Pradesh"
"1393",1393,"TELANGANA","Public",2001,"Gynaecology",122,NA,NA,"PG","Telangana"
"1394",1394,"ANDHRA PRADESH","Both",2001,"Gynaecology",124,553,2,"PG","Andhra Pradesh"
"1395",1395,"TELANGANA","Both",2001,"Gynaecology",124,NA,NA,"PG","Telangana"
"1396",1396,"GUJARAT","Private",2001,"Endocrinology",0,474,12,"PG","Gujarat"
"1397",1397,"HARYANA","Private",2001,"Endocrinology",0,70,13,"PG","Haryana"
"1398",1398,"JAMMU & KASHMIR","Private",2001,"Endocrinology",0,14,15,"PG","Jammu & Kashmir"
"1399",1399,"KARNATAKA","Private",2001,"Endocrinology",0,556,17,"PG","Karnataka"
"1400",1400,"KERALA","Private",2001,"Endocrinology",0,598,18,"PG","Kerala"
"1401",1401,"MADHYA PRADESH","Private",2001,"Endocrinology",0,465,20,"PG","Madhya Pradesh"
"1402",1402,"MAHARASHTRA","Private",2001,"Endocrinology",0,522,21,"PG","Maharashtra"
"1403",1403,"ODISHA","Private",2001,"Endocrinology",0,384,26,"PG","Odisha"
"1404",1404,"PUDUCHERRY","Private",2001,"Endocrinology",0,636,27,"PG","Puducherry"
"1405",1405,"PUNJAB","Private",2001,"Endocrinology",0,49,28,"PG","Punjab"
"1406",1406,"RAJASTHAN","Private",2001,"Endocrinology",0,119,29,"PG","Rajasthan"
"1407",1407,"SIKKIM","Private",2001,"Endocrinology",0,244,30,"PG","Sikkim"
"1408",1408,"TAMIL NADU","Private",2001,"Endocrinology",0,616,31,"PG","Tamil Nadu"
"1409",1409,"UTTAR PRADESH","Private",2001,"Endocrinology",0,146,34,"PG","Uttar Pradesh"
"1410",1410,"UTTARAKHAND","Private",2001,"Endocrinology",0,64,35,"PG","Uttarakhand"
"1411",1411,"WEST BENGAL","Private",2001,"Endocrinology",0,339,36,"PG","West Bengal"
"1412",1412,"ASSAM","Public",2001,"Endocrinology",1,324,4,"PG","Assam"
"1413",1413,"BIHAR","Public",2001,"Endocrinology",0,209,5,"PG","Bihar"
"1414",1414,"CHANDIGARH","Public",2001,"Endocrinology",0,55,6,"PG","Chandigarh"
"1415",1415,"CHHATTISGARH","Public",2001,"Endocrinology",0,414,7,"PG","Chhattisgarh"
"1416",1416,"NCT OF DELHI","Public",2001,"Endocrinology",11,95,10,"PG","NCT of Delhi"
"1417",1417,"GOA","Public",2001,"Endocrinology",0,585,11,"PG","Goa"
"1418",1418,"GUJARAT","Public",2001,"Endocrinology",0,474,12,"PG","Gujarat"
"1419",1419,"HARYANA","Public",2001,"Endocrinology",0,70,13,"PG","Haryana"
"1420",1420,"HIMACHAL PRADESH","Public",2001,"Endocrinology",0,30,14,"PG","Himachal Pradesh"
"1421",1421,"JAMMU & KASHMIR","Public",2001,"Endocrinology",0,14,15,"PG","Jammu & Kashmir"
"1422",1422,"JHARKHAND","Public",2001,"Endocrinology",0,355,16,"PG","Jharkhand"
"1423",1423,"KARNATAKA","Public",2001,"Endocrinology",0,556,17,"PG","Karnataka"
"1424",1424,"KERALA","Public",2001,"Endocrinology",0,598,18,"PG","Kerala"
"1425",1425,"MADHYA PRADESH","Public",2001,"Endocrinology",0,465,20,"PG","Madhya Pradesh"
"1426",1426,"MAHARASHTRA","Public",2001,"Endocrinology",2,522,21,"PG","Maharashtra"
"1427",1427,"MANIPUR","Public",2001,"Endocrinology",0,275,22,"PG","Manipur"
"1428",1428,"MEGHALAYA","Public",2001,"Endocrinology",0,294,23,"PG","Meghalaya"
"1429",1429,"ODISHA","Public",2001,"Endocrinology",0,384,26,"PG","Odisha"
"1430",1430,"PUDUCHERRY","Public",2001,"Endocrinology",0,636,27,"PG","Puducherry"
"1431",1431,"PUNJAB","Public",2001,"Endocrinology",0,49,28,"PG","Punjab"
"1432",1432,"RAJASTHAN","Public",2001,"Endocrinology",0,119,29,"PG","Rajasthan"
"1433",1433,"TAMIL NADU","Public",2001,"Endocrinology",0,616,31,"PG","Tamil Nadu"
"1434",1434,"UTTAR PRADESH","Public",2001,"Endocrinology",5,146,34,"PG","Uttar Pradesh"
"1435",1435,"UTTARAKHAND","Public",2001,"Endocrinology",0,64,35,"PG","Uttarakhand"
"1436",1436,"WEST BENGAL","Public",2001,"Endocrinology",2,339,36,"PG","West Bengal"
"1437",1437,"ANDHRA PRADESH","Private",2018,"Endocrinology",2,553,2,"PG","Andhra Pradesh"
"1438",1438,"BIHAR","Private",2018,"Endocrinology",0,209,5,"PG","Bihar"
"1439",1439,"CHHATTISGARH","Private",2018,"Endocrinology",0,414,7,"PG","Chhattisgarh"
"1440",1440,"NCT OF DELHI","Private",2018,"Endocrinology",0,95,10,"PG","NCT of Delhi"
"1441",1441,"GUJARAT","Private",2018,"Endocrinology",0,474,12,"PG","Gujarat"
"1442",1442,"HARYANA","Private",2018,"Endocrinology",0,70,13,"PG","Haryana"
"1443",1443,"HIMACHAL PRADESH","Private",2018,"Endocrinology",0,30,14,"PG","Himachal Pradesh"
"1444",1444,"JAMMU & KASHMIR","Private",2018,"Endocrinology",0,14,15,"PG","Jammu & Kashmir"
"1445",1445,"KARNATAKA","Private",2018,"Endocrinology",6,556,17,"PG","Karnataka"
"1446",1446,"KERALA","Private",2018,"Endocrinology",3,598,18,"PG","Kerala"
"1447",1447,"MADHYA PRADESH","Private",2018,"Endocrinology",0,465,20,"PG","Madhya Pradesh"
"1448",1448,"MAHARASHTRA","Private",2018,"Endocrinology",0,522,21,"PG","Maharashtra"
"1449",1449,"ODISHA","Private",2018,"Endocrinology",0,384,26,"PG","Odisha"
"1450",1450,"PUDUCHERRY","Private",2018,"Endocrinology",0,636,27,"PG","Puducherry"
"1451",1451,"PUNJAB","Private",2018,"Endocrinology",0,49,28,"PG","Punjab"
"1452",1452,"RAJASTHAN","Private",2018,"Endocrinology",0,119,29,"PG","Rajasthan"
"1453",1453,"SIKKIM","Private",2018,"Endocrinology",0,244,30,"PG","Sikkim"
"1454",1454,"TAMIL NADU","Private",2018,"Endocrinology",5,616,31,"PG","Tamil Nadu"
"1455",1455,"TELANGANA","Private",2018,"Endocrinology",0,532,32,"PG","Telangana"
"1456",1456,"TRIPURA","Private",2018,"Endocrinology",0,291,33,"PG","Tripura"
"1457",1457,"UTTAR PRADESH","Private",2018,"Endocrinology",0,146,34,"PG","Uttar Pradesh"
"1458",1458,"UTTARAKHAND","Private",2018,"Endocrinology",0,64,35,"PG","Uttarakhand"
"1459",1459,"WEST BENGAL","Private",2018,"Endocrinology",0,339,36,"PG","West Bengal"
"1460",1460,"ANDAMAN & NICOBAR ISLAND","Public",2018,"Endocrinology",0,638,1,"PG","Andaman & Nicobar Island"
"1461",1461,"ANDHRA PRADESH","Public",2018,"Endocrinology",5,553,2,"PG","Andhra Pradesh"
"1462",1462,"ASSAM","Public",2018,"Endocrinology",2,324,4,"PG","Assam"
"1463",1463,"BIHAR","Public",2018,"Endocrinology",0,209,5,"PG","Bihar"
"1464",1464,"CHANDIGARH","Public",2018,"Endocrinology",8,55,6,"PG","Chandigarh"
"1465",1465,"CHHATTISGARH","Public",2018,"Endocrinology",0,414,7,"PG","Chhattisgarh"
"1466",1466,"NCT OF DELHI","Public",2018,"Endocrinology",11,95,10,"PG","NCT of Delhi"
"1467",1467,"GOA","Public",2018,"Endocrinology",0,585,11,"PG","Goa"
"1468",1468,"GUJARAT","Public",2018,"Endocrinology",0,474,12,"PG","Gujarat"
"1469",1469,"HARYANA","Public",2018,"Endocrinology",0,70,13,"PG","Haryana"
"1470",1470,"HIMACHAL PRADESH","Public",2018,"Endocrinology",0,30,14,"PG","Himachal Pradesh"
"1471",1471,"JAMMU & KASHMIR","Public",2018,"Endocrinology",4,14,15,"PG","Jammu & Kashmir"
"1472",1472,"JHARKHAND","Public",2018,"Endocrinology",0,355,16,"PG","Jharkhand"
"1473",1473,"KARNATAKA","Public",2018,"Endocrinology",0,556,17,"PG","Karnataka"
"1474",1474,"KERALA","Public",2018,"Endocrinology",2,598,18,"PG","Kerala"
"1475",1475,"MADHYA PRADESH","Public",2018,"Endocrinology",0,465,20,"PG","Madhya Pradesh"
"1476",1476,"MAHARASHTRA","Public",2018,"Endocrinology",5,522,21,"PG","Maharashtra"
"1477",1477,"MANIPUR","Public",2018,"Endocrinology",0,275,22,"PG","Manipur"
"1478",1478,"MEGHALAYA","Public",2018,"Endocrinology",0,294,23,"PG","Meghalaya"
"1479",1479,"ODISHA","Public",2018,"Endocrinology",2,384,26,"PG","Odisha"
"1480",1480,"PUDUCHERRY","Public",2018,"Endocrinology",2,636,27,"PG","Puducherry"
"1481",1481,"PUNJAB","Public",2018,"Endocrinology",0,49,28,"PG","Punjab"
"1482",1482,"RAJASTHAN","Public",2018,"Endocrinology",1,119,29,"PG","Rajasthan"
"1483",1483,"TAMIL NADU","Public",2018,"Endocrinology",2,616,31,"PG","Tamil Nadu"
"1484",1484,"TELANGANA","Public",2018,"Endocrinology",4,532,32,"PG","Telangana"
"1485",1485,"TRIPURA","Public",2018,"Endocrinology",0,291,33,"PG","Tripura"
"1486",1486,"UTTAR PRADESH","Public",2018,"Endocrinology",11,146,34,"PG","Uttar Pradesh"
"1487",1487,"UTTARAKHAND","Public",2018,"Endocrinology",0,64,35,"PG","Uttarakhand"
"1488",1488,"WEST BENGAL","Public",2018,"Endocrinology",11,339,36,"PG","West Bengal"
"1489",1489,"ASSAM","Both",2001,"Endocrinology",1,324,4,"PG","Assam"
"1490",1490,"BIHAR","Both",2001,"Endocrinology",0,209,5,"PG","Bihar"
"1491",1491,"CHANDIGARH","Both",2001,"Endocrinology",0,55,6,"PG","Chandigarh"
"1492",1492,"CHHATTISGARH","Both",2001,"Endocrinology",0,414,7,"PG","Chhattisgarh"
"1493",1493,"GOA","Both",2001,"Endocrinology",0,585,11,"PG","Goa"
"1494",1494,"GUJARAT","Both",2001,"Endocrinology",0,474,12,"PG","Gujarat"
"1495",1495,"HARYANA","Both",2001,"Endocrinology",0,70,13,"PG","Haryana"
"1496",1496,"HIMACHAL PRADESH","Both",2001,"Endocrinology",0,30,14,"PG","Himachal Pradesh"
"1497",1497,"JAMMU & KASHMIR","Both",2001,"Endocrinology",0,14,15,"PG","Jammu & Kashmir"
"1498",1498,"JHARKHAND","Both",2001,"Endocrinology",0,355,16,"PG","Jharkhand"
"1499",1499,"KARNATAKA","Both",2001,"Endocrinology",0,556,17,"PG","Karnataka"
"1500",1500,"KERALA","Both",2001,"Endocrinology",0,598,18,"PG","Kerala"
"1501",1501,"MADHYA PRADESH","Both",2001,"Endocrinology",0,465,20,"PG","Madhya Pradesh"
"1502",1502,"MAHARASHTRA","Both",2001,"Endocrinology",2,522,21,"PG","Maharashtra"
"1503",1503,"MANIPUR","Both",2001,"Endocrinology",0,275,22,"PG","Manipur"
"1504",1504,"MEGHALAYA","Both",2001,"Endocrinology",0,294,23,"PG","Meghalaya"
"1505",1505,"NCT OF DELHI","Both",2001,"Endocrinology",11,95,10,"PG","NCT of Delhi"
"1506",1506,"ODISHA","Both",2001,"Endocrinology",0,384,26,"PG","Odisha"
"1507",1507,"PUDUCHERRY","Both",2001,"Endocrinology",0,636,27,"PG","Puducherry"
"1508",1508,"PUNJAB","Both",2001,"Endocrinology",0,49,28,"PG","Punjab"
"1509",1509,"RAJASTHAN","Both",2001,"Endocrinology",0,119,29,"PG","Rajasthan"
"1510",1510,"SIKKIM","Both",2001,"Endocrinology",0,244,30,"PG","Sikkim"
"1511",1511,"TAMIL NADU","Both",2001,"Endocrinology",0,616,31,"PG","Tamil Nadu"
"1512",1512,"UTTAR PRADESH","Both",2001,"Endocrinology",5,146,34,"PG","Uttar Pradesh"
"1513",1513,"UTTARAKHAND","Both",2001,"Endocrinology",0,64,35,"PG","Uttarakhand"
"1514",1514,"WEST BENGAL","Both",2001,"Endocrinology",2,339,36,"PG","West Bengal"
"1515",1515,"ANDAMAN & NICOBAR ISLAND","Both",2018,"Endocrinology",0,638,1,"PG","Andaman & Nicobar Island"
"1516",1516,"ANDHRA PRADESH","Both",2018,"Endocrinology",7,553,2,"PG","Andhra Pradesh"
"1517",1517,"ASSAM","Both",2018,"Endocrinology",2,324,4,"PG","Assam"
"1518",1518,"BIHAR","Both",2018,"Endocrinology",0,209,5,"PG","Bihar"
"1519",1519,"CHANDIGARH","Both",2018,"Endocrinology",8,55,6,"PG","Chandigarh"
"1520",1520,"CHHATTISGARH","Both",2018,"Endocrinology",0,414,7,"PG","Chhattisgarh"
"1521",1521,"GOA","Both",2018,"Endocrinology",0,585,11,"PG","Goa"
"1522",1522,"GUJARAT","Both",2018,"Endocrinology",0,474,12,"PG","Gujarat"
"1523",1523,"HARYANA","Both",2018,"Endocrinology",0,70,13,"PG","Haryana"
"1524",1524,"HIMACHAL PRADESH","Both",2018,"Endocrinology",0,30,14,"PG","Himachal Pradesh"
"1525",1525,"JAMMU & KASHMIR","Both",2018,"Endocrinology",4,14,15,"PG","Jammu & Kashmir"
"1526",1526,"JHARKHAND","Both",2018,"Endocrinology",0,355,16,"PG","Jharkhand"
"1527",1527,"KARNATAKA","Both",2018,"Endocrinology",6,556,17,"PG","Karnataka"
"1528",1528,"KERALA","Both",2018,"Endocrinology",5,598,18,"PG","Kerala"
"1529",1529,"MADHYA PRADESH","Both",2018,"Endocrinology",0,465,20,"PG","Madhya Pradesh"
"1530",1530,"MAHARASHTRA","Both",2018,"Endocrinology",5,522,21,"PG","Maharashtra"
"1531",1531,"MANIPUR","Both",2018,"Endocrinology",0,275,22,"PG","Manipur"
"1532",1532,"MEGHALAYA","Both",2018,"Endocrinology",0,294,23,"PG","Meghalaya"
"1533",1533,"NCT OF DELHI","Both",2018,"Endocrinology",11,95,10,"PG","NCT of Delhi"
"1534",1534,"ODISHA","Both",2018,"Endocrinology",2,384,26,"PG","Odisha"
"1535",1535,"PUDUCHERRY","Both",2018,"Endocrinology",2,636,27,"PG","Puducherry"
"1536",1536,"PUNJAB","Both",2018,"Endocrinology",0,49,28,"PG","Punjab"
"1537",1537,"RAJASTHAN","Both",2018,"Endocrinology",1,119,29,"PG","Rajasthan"
"1538",1538,"SIKKIM","Both",2018,"Endocrinology",0,244,30,"PG","Sikkim"
"1539",1539,"TAMIL NADU","Both",2018,"Endocrinology",7,616,31,"PG","Tamil Nadu"
"1540",1540,"TELANGANA","Both",2018,"Endocrinology",4,532,32,"PG","Telangana"
"1541",1541,"TRIPURA","Both",2018,"Endocrinology",0,291,33,"PG","Tripura"
"1542",1542,"UTTAR PRADESH","Both",2018,"Endocrinology",11,146,34,"PG","Uttar Pradesh"
"1543",1543,"UTTARAKHAND","Both",2018,"Endocrinology",0,64,35,"PG","Uttarakhand"
"1544",1544,"WEST BENGAL","Both",2018,"Endocrinology",11,339,36,"PG","West Bengal"
"1545",1545,"ANDHRA PRADESH","Private",2001,"Endocrinology",0,553,2,"PG","Andhra Pradesh"
"1546",1546,"TELANGANA","Private",2001,"Endocrinology",0,NA,NA,"PG","Telangana"
"1547",1547,"ANDHRA PRADESH","Public",2001,"Endocrinology",0,553,2,"PG","Andhra Pradesh"
"1548",1548,"TELANGANA","Public",2001,"Endocrinology",0,NA,NA,"PG","Telangana"
"1549",1549,"ANDHRA PRADESH","Both",2001,"Endocrinology",0,553,2,"PG","Andhra Pradesh"
"1550",1550,"TELANGANA","Both",2001,"Endocrinology",0,NA,NA,"PG","Telangana"
"1551",1551,"GUJARAT","Private",2001,"Ophthalmology",0,474,12,"PG","Gujarat"
"1552",1552,"HARYANA","Private",2001,"Ophthalmology",1,70,13,"PG","Haryana"
"1553",1553,"JAMMU & KASHMIR","Private",2001,"Ophthalmology",0,14,15,"PG","Jammu & Kashmir"
"1554",1554,"KARNATAKA","Private",2001,"Ophthalmology",50,556,17,"PG","Karnataka"
"1555",1555,"KERALA","Private",2001,"Ophthalmology",0,598,18,"PG","Kerala"
"1556",1556,"MADHYA PRADESH","Private",2001,"Ophthalmology",2,465,20,"PG","Madhya Pradesh"
"1557",1557,"MAHARASHTRA","Private",2001,"Ophthalmology",4,522,21,"PG","Maharashtra"
"1558",1558,"ODISHA","Private",2001,"Ophthalmology",0,384,26,"PG","Odisha"
"1559",1559,"PUDUCHERRY","Private",2001,"Ophthalmology",0,636,27,"PG","Puducherry"
"1560",1560,"PUNJAB","Private",2001,"Ophthalmology",1,49,28,"PG","Punjab"
"1561",1561,"RAJASTHAN","Private",2001,"Ophthalmology",1,119,29,"PG","Rajasthan"
"1562",1562,"SIKKIM","Private",2001,"Ophthalmology",0,244,30,"PG","Sikkim"
"1563",1563,"TAMIL NADU","Private",2001,"Ophthalmology",26,616,31,"PG","Tamil Nadu"
"1564",1564,"UTTAR PRADESH","Private",2001,"Ophthalmology",0,146,34,"PG","Uttar Pradesh"
"1565",1565,"UTTARAKHAND","Private",2001,"Ophthalmology",4,64,35,"PG","Uttarakhand"
"1566",1566,"WEST BENGAL","Private",2001,"Ophthalmology",2,339,36,"PG","West Bengal"
"1567",1567,"ASSAM","Public",2001,"Ophthalmology",23,324,4,"PG","Assam"
"1568",1568,"BIHAR","Public",2001,"Ophthalmology",7,209,5,"PG","Bihar"
"1569",1569,"CHANDIGARH","Public",2001,"Ophthalmology",3,55,6,"PG","Chandigarh"
"1570",1570,"CHHATTISGARH","Public",2001,"Ophthalmology",5,414,7,"PG","Chhattisgarh"
"1571",1571,"NCT OF DELHI","Public",2001,"Ophthalmology",130,95,10,"PG","NCT of Delhi"
"1572",1572,"GOA","Public",2001,"Ophthalmology",2,585,11,"PG","Goa"
"1573",1573,"GUJARAT","Public",2001,"Ophthalmology",11,474,12,"PG","Gujarat"
"1574",1574,"HARYANA","Public",2001,"Ophthalmology",10,70,13,"PG","Haryana"
"1575",1575,"HIMACHAL PRADESH","Public",2001,"Ophthalmology",2,30,14,"PG","Himachal Pradesh"
"1576",1576,"JAMMU & KASHMIR","Public",2001,"Ophthalmology",12,14,15,"PG","Jammu & Kashmir"
"1577",1577,"JHARKHAND","Public",2001,"Ophthalmology",0,355,16,"PG","Jharkhand"
"1578",1578,"KARNATAKA","Public",2001,"Ophthalmology",42,556,17,"PG","Karnataka"
"1579",1579,"KERALA","Public",2001,"Ophthalmology",9,598,18,"PG","Kerala"
"1580",1580,"MADHYA PRADESH","Public",2001,"Ophthalmology",36,465,20,"PG","Madhya Pradesh"
"1581",1581,"MAHARASHTRA","Public",2001,"Ophthalmology",61,522,21,"PG","Maharashtra"
"1582",1582,"MANIPUR","Public",2001,"Ophthalmology",2,275,22,"PG","Manipur"
"1583",1583,"MEGHALAYA","Public",2001,"Ophthalmology",0,294,23,"PG","Meghalaya"
"1584",1584,"ODISHA","Public",2001,"Ophthalmology",0,384,26,"PG","Odisha"
"1585",1585,"PUDUCHERRY","Public",2001,"Ophthalmology",0,636,27,"PG","Puducherry"
"1586",1586,"PUNJAB","Public",2001,"Ophthalmology",10,49,28,"PG","Punjab"
"1587",1587,"RAJASTHAN","Public",2001,"Ophthalmology",18,119,29,"PG","Rajasthan"
"1588",1588,"TAMIL NADU","Public",2001,"Ophthalmology",60,616,31,"PG","Tamil Nadu"
"1589",1589,"UTTAR PRADESH","Public",2001,"Ophthalmology",40,146,34,"PG","Uttar Pradesh"
"1590",1590,"UTTARAKHAND","Public",2001,"Ophthalmology",0,64,35,"PG","Uttarakhand"
"1591",1591,"WEST BENGAL","Public",2001,"Ophthalmology",32,339,36,"PG","West Bengal"
"1592",1592,"ANDHRA PRADESH","Private",2018,"Ophthalmology",35,553,2,"PG","Andhra Pradesh"
"1593",1593,"BIHAR","Private",2018,"Ophthalmology",13,209,5,"PG","Bihar"
"1594",1594,"CHHATTISGARH","Private",2018,"Ophthalmology",0,414,7,"PG","Chhattisgarh"
"1595",1595,"NCT OF DELHI","Private",2018,"Ophthalmology",0,95,10,"PG","NCT of Delhi"
"1596",1596,"GUJARAT","Private",2018,"Ophthalmology",14,474,12,"PG","Gujarat"
"1597",1597,"HARYANA","Private",2018,"Ophthalmology",8,70,13,"PG","Haryana"
"1598",1598,"HIMACHAL PRADESH","Private",2018,"Ophthalmology",0,30,14,"PG","Himachal Pradesh"
"1599",1599,"JAMMU & KASHMIR","Private",2018,"Ophthalmology",0,14,15,"PG","Jammu & Kashmir"
"1600",1600,"KARNATAKA","Private",2018,"Ophthalmology",124,556,17,"PG","Karnataka"
"1601",1601,"KERALA","Private",2018,"Ophthalmology",24,598,18,"PG","Kerala"
"1602",1602,"MADHYA PRADESH","Private",2018,"Ophthalmology",9,465,20,"PG","Madhya Pradesh"
"1603",1603,"MAHARASHTRA","Private",2018,"Ophthalmology",68,522,21,"PG","Maharashtra"
"1604",1604,"ODISHA","Private",2018,"Ophthalmology",9,384,26,"PG","Odisha"
"1605",1605,"PUDUCHERRY","Private",2018,"Ophthalmology",14,636,27,"PG","Puducherry"
"1606",1606,"PUNJAB","Private",2018,"Ophthalmology",5,49,28,"PG","Punjab"
"1607",1607,"RAJASTHAN","Private",2018,"Ophthalmology",7,119,29,"PG","Rajasthan"
"1608",1608,"SIKKIM","Private",2018,"Ophthalmology",0,244,30,"PG","Sikkim"
"1609",1609,"TAMIL NADU","Private",2018,"Ophthalmology",65,616,31,"PG","Tamil Nadu"
"1610",1610,"TELANGANA","Private",2018,"Ophthalmology",28,532,32,"PG","Telangana"
"1611",1611,"TRIPURA","Private",2018,"Ophthalmology",0,291,33,"PG","Tripura"
"1612",1612,"UTTAR PRADESH","Private",2018,"Ophthalmology",29,146,34,"PG","Uttar Pradesh"
"1613",1613,"UTTARAKHAND","Private",2018,"Ophthalmology",8,64,35,"PG","Uttarakhand"
"1614",1614,"WEST BENGAL","Private",2018,"Ophthalmology",2,339,36,"PG","West Bengal"
"1615",1615,"ANDAMAN & NICOBAR ISLAND","Public",2018,"Ophthalmology",0,638,1,"PG","Andaman & Nicobar Island"
"1616",1616,"ANDHRA PRADESH","Public",2018,"Ophthalmology",49,553,2,"PG","Andhra Pradesh"
"1617",1617,"ASSAM","Public",2018,"Ophthalmology",25,324,4,"PG","Assam"
"1618",1618,"BIHAR","Public",2018,"Ophthalmology",16,209,5,"PG","Bihar"
"1619",1619,"CHANDIGARH","Public",2018,"Ophthalmology",18,55,6,"PG","Chandigarh"
"1620",1620,"CHHATTISGARH","Public",2018,"Ophthalmology",8,414,7,"PG","Chhattisgarh"
"1621",1621,"NCT OF DELHI","Public",2018,"Ophthalmology",160,95,10,"PG","NCT of Delhi"
"1622",1622,"GOA","Public",2018,"Ophthalmology",5,585,11,"PG","Goa"
"1623",1623,"GUJARAT","Public",2018,"Ophthalmology",80,474,12,"PG","Gujarat"
"1624",1624,"HARYANA","Public",2018,"Ophthalmology",15,70,13,"PG","Haryana"
"1625",1625,"HIMACHAL PRADESH","Public",2018,"Ophthalmology",8,30,14,"PG","Himachal Pradesh"
"1626",1626,"JAMMU & KASHMIR","Public",2018,"Ophthalmology",25,14,15,"PG","Jammu & Kashmir"
"1627",1627,"JHARKHAND","Public",2018,"Ophthalmology",18,355,16,"PG","Jharkhand"
"1628",1628,"KARNATAKA","Public",2018,"Ophthalmology",61,556,17,"PG","Karnataka"
"1629",1629,"KERALA","Public",2018,"Ophthalmology",36,598,18,"PG","Kerala"
"1630",1630,"MADHYA PRADESH","Public",2018,"Ophthalmology",39,465,20,"PG","Madhya Pradesh"
"1631",1631,"MAHARASHTRA","Public",2018,"Ophthalmology",96,522,21,"PG","Maharashtra"
"1632",1632,"MANIPUR","Public",2018,"Ophthalmology",5,275,22,"PG","Manipur"
"1633",1633,"MEGHALAYA","Public",2018,"Ophthalmology",0,294,23,"PG","Meghalaya"
"1634",1634,"ODISHA","Public",2018,"Ophthalmology",25,384,26,"PG","Odisha"
"1635",1635,"PUDUCHERRY","Public",2018,"Ophthalmology",9,636,27,"PG","Puducherry"
"1636",1636,"PUNJAB","Public",2018,"Ophthalmology",19,49,28,"PG","Punjab"
"1637",1637,"RAJASTHAN","Public",2018,"Ophthalmology",31,119,29,"PG","Rajasthan"
"1638",1638,"TAMIL NADU","Public",2018,"Ophthalmology",84,616,31,"PG","Tamil Nadu"
"1639",1639,"TELANGANA","Public",2018,"Ophthalmology",50,532,32,"PG","Telangana"
"1640",1640,"TRIPURA","Public",2018,"Ophthalmology",2,291,33,"PG","Tripura"
"1641",1641,"UTTAR PRADESH","Public",2018,"Ophthalmology",90,146,34,"PG","Uttar Pradesh"
"1642",1642,"UTTARAKHAND","Public",2018,"Ophthalmology",3,64,35,"PG","Uttarakhand"
"1643",1643,"WEST BENGAL","Public",2018,"Ophthalmology",70,339,36,"PG","West Bengal"
"1644",1644,"ASSAM","Both",2001,"Ophthalmology",23,324,4,"PG","Assam"
"1645",1645,"BIHAR","Both",2001,"Ophthalmology",7,209,5,"PG","Bihar"
"1646",1646,"CHANDIGARH","Both",2001,"Ophthalmology",3,55,6,"PG","Chandigarh"
"1647",1647,"CHHATTISGARH","Both",2001,"Ophthalmology",5,414,7,"PG","Chhattisgarh"
"1648",1648,"GOA","Both",2001,"Ophthalmology",2,585,11,"PG","Goa"
"1649",1649,"GUJARAT","Both",2001,"Ophthalmology",11,474,12,"PG","Gujarat"
"1650",1650,"HARYANA","Both",2001,"Ophthalmology",11,70,13,"PG","Haryana"
"1651",1651,"HIMACHAL PRADESH","Both",2001,"Ophthalmology",2,30,14,"PG","Himachal Pradesh"
"1652",1652,"JAMMU & KASHMIR","Both",2001,"Ophthalmology",12,14,15,"PG","Jammu & Kashmir"
"1653",1653,"JHARKHAND","Both",2001,"Ophthalmology",0,355,16,"PG","Jharkhand"
"1654",1654,"KARNATAKA","Both",2001,"Ophthalmology",92,556,17,"PG","Karnataka"
"1655",1655,"KERALA","Both",2001,"Ophthalmology",9,598,18,"PG","Kerala"
"1656",1656,"MADHYA PRADESH","Both",2001,"Ophthalmology",38,465,20,"PG","Madhya Pradesh"
"1657",1657,"MAHARASHTRA","Both",2001,"Ophthalmology",65,522,21,"PG","Maharashtra"
"1658",1658,"MANIPUR","Both",2001,"Ophthalmology",2,275,22,"PG","Manipur"
"1659",1659,"MEGHALAYA","Both",2001,"Ophthalmology",0,294,23,"PG","Meghalaya"
